host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
88%,,1.00,48.83573,2.3464,Paris,75013,Ile-de-France,4,Entire home/apt,3,1,3,80 ,,,6,18,5
100%,,1.00,48.88188,2.39385,Paris,75019,Île-de-France,1,Entire home/apt,1,1,1,60 ,15,400,5,20,150
100%,,1.00,48.85116,2.31935,Paris,75007,Ile-de-France,2,Entire home/apt,1,1,0,180 ,100,300,3,730,44
88%,,1.00,48.84967,2.37816,Paris,75012,Ile-de-France,3,Entire home/apt,1,1,1,50 ,40,199,5,20,70
,,1.00,48.87153,2.37342,Paris,75010,Ile-de-France,2,Entire home/apt,1,1,1,80 ,,200,2,15,12
100%,,1.00,48.86411,2.34309,Paris,75001,Île-de-France,3,Entire home/apt,1,1,2,135 ,0,0,3,20,95
80%,,1.00,48.86058,2.36421,Paris,75003,Ile-de-France,3,Entire home/apt,1,1,1,85 ,45,400,3,365,70
100%,,5.00,48.85701,2.36331,Paris,75004,Ile-de-France,2,Entire home/apt,0,1,1,48 ,50,1200,30,730,15
100%,,1.00,48.86895,2.40142,Paris,75020,Île-de-France,2,Private room,0,1.5,1,45 ,30,200,4,365,182
100%,,2.00,48.85756,2.36519,Paris,75003,Île-de-France,2,Private room,1,1,1,99 ,,,2,365,206
100%,,1.00,48.82417,2.35078,Paris,75013,Ile-de-France,1,Private room,1,1,1,27 ,,,7,365,36
100%,,3.00,48.88658,2.32538,Paris,75018,Île-de-France,10,Entire home/apt,4,4.5,6,600 ,0,1500,2,365,100
100%,,1.00,48.88116,2.33446,Paris,75009,Île-de-France,5,Entire home/apt,2,1,5,110 ,50,650,5,730,58
65%,,93.00,48.85689,2.3577,Paris,75003,Ile-de-France,4,Entire home/apt,1,1,3,185 ,60,900,5,365,6
,,1.00,48.87146,2.38845,Paris,75020,Ile-de-France,3,Entire home/apt,1,1,2,90 ,,,2,730,193
100%,,2.00,48.83926,2.34695,Paris,75005,Ile-de-France,2,Private room,1,1,1,60 ,50,200,30,190,35
100%,,1.00,48.88502,2.36017,Paris,75010,Ile-de-France,2,Entire home/apt,1,1,1,85 ,25,500,5,70,46
89%,,1.00,48.8505,2.29093,Paris,75015,Ile-de-France,2,Entire home/apt,1,1,2,71 ,40,300,14,365,35
